18:11:48.971 [CUBESAT]: Time: 1266 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:48.974 [CUBESAT]: Time: 1280 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:48.988 [CUBESAT]: Time: 1295 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.033 [CUBESAT]: Time: 1309 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.034 [CUBESAT]: Time: 1323 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.035 [CUBESAT]: Time: 1337 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.042 [CUBESAT]: Time: 1350 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.099 [CUBESAT]: Time: 1364 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.100 [CUBESAT]: Time: 1378 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.102 [CUBESAT]: Time: 1392 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.102 [CUBESAT]: Time: 1405 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.112 [CUBESAT]: Time: 1418 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.154 [CUBESAT]: Time: 1432 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.155 [CUBESAT]: Time: 1446 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.157 [CUBESAT]: Time: 1459 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.176 [CUBESAT]: Time: 1472 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.179 [CUBESAT]: Time: 1485 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.212 [CUBESAT]: Time: 1499 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:49.212 [CUBESAT]: Time: 1512 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.222 [CUBESAT]: Time: 1525 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:49.235 [CUBESAT]: Time: 1541 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
