18:07:25.287 Connecting to CUBESAT-ESP32 ...
18:07:26.005 Connected
18:07:28.383 [CUBESAT]: Time: 6406 | Angle 59.98° | Setpoint: 90 | Dc= 0.00
18:07:28.384 [CUBESAT]: Time: 6420 | Angle 59.99° | Setpoint: 90 | Dc= 0.00
18:07:28.384 [CUBESAT]: Time: 6433 | Angle 60.00° | Setpoint: 90 | Dc= 0.00
18:07:28.385 [CUBESAT]: Time: 6447 | Angle 60.01° | Setpoint: 90 | Dc= 0.00
18:07:28.386 [CUBESAT]: Time: 6460 | Angle 60.01° | Setpoint: 90 | Dc= 0.00
18:07:28.387 [CUBESAT]: Time: 6473 | Angle 60.02° | Setpoint: 90 | Dc= 0.00
18:07:28.389 [CUBESAT]: Time: 6487 | Angle 60.03° | Setpoint: 90 | Dc= 0.00
18:07:28.395 [CUBESAT]: Time: 6500 | Angle 60.04° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6511 | Angle 60.05° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6521 | Angle 60.05° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6531 | Angle 60.06° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6541 | Angle 60.06° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6551 | Angle 60.07° | Setpoint: 90 | Dc= 0.00
18:07:28.400 [CUBESAT]: Time: 6561 | Angle 60.07° | Setpoint: 90 | Dc= 0.00
18:07:28.402 [CUBESAT]: Time: 6571 | Angle 60.08° | Setpoint: 90 | Dc= 0.00
18:07:28.402 [CUBESAT]: Time: 6581 | Angle 60.09° | Setpoint: 90 | Dc= 0.00
18:07:28.402 [CUBESAT]: Time: 6591 | Angle 60.09° | Setpoint: 90 | Dc= 0.00
18:07:28.402 [CUBESAT]: Time: 6601 | Angle 60.10° | Setpoint: 90 | Dc= 0.00
18:07:28.402 [CUBESAT]: Time: 6611 | Angle 60.10° | Setpoint: 90 | Dc= 0.00
18:07:28.404 [CUBESAT]: Time: 6621 | Angle 60.11° | Setpoint: 90 | Dc= 0.00
18:07:28.404 [CUBESAT]: Time: 6631 | Angle 60.12° | Setpoint: 90 | Dc= 0.00
18:07:28.404 [CUBESAT]: Time: 6641 | Angle 60.12° | Setpoint: 90 | Dc= 0.00
18:07:28.404 [CUBESAT]: Time: 6651 | Angle 60.13° | Setpoint: 90 | Dc= 0.00
18:07:28.404 [CUBESAT]: Time: 6661 | Angle 60.13° | Setpoint: 90 | Dc= 0.00
18:07:28.442 [CUBESAT]: Time: 6671 | Angle 60.14° | Setpoint: 90 | Dc= 0.00
18:07:28.442 [CUBESAT]: Time: 6688 | Angle 60.15° | Setpoint: 90 | Dc= 0.00
18:07:28.443 [CUBESAT]: Time: 6702 | Angle 60.16° | Setpoint: 90 | Dc= 0.00
18:07:28.448 [CUBESAT]: Time: 6713 | Angle 60.16° | Setpoint: 90 | Dc= 0.00
18:07:28.454 [CUBESAT]: Time: 6732 | Angle 60.18° | Setpoint: 90 | Dc= 0.00
18:07:28.496 [CUBESAT]: Time: 6747 | Angle 60.19° | Setpoint: 90 | Dc= 0.00
18:07:28.497 [CUBESAT]: Time: 6761 | Angle 60.19° | Setpoint: 90 | Dc= 0.00
18:07:28.498 [CUBESAT]: Time: 6775 | Angle 60.20° | Setpoint: 90 | Dc= 0.00
18:07:28.557 [CUBESAT]: Time: 6790 | Angle 60.21° | Setpoint: 90 | Dc= 0.00
18:07:28.557 [CUBESAT]: Time: 6804 | Angle 60.22° | Setpoint: 90 | Dc= 0.00
18:07:28.558 [CUBESAT]: Time: 6817 | Angle 60.23° | Setpoint: 90 | Dc= 0.00
18:07:28.560 [CUBESAT]: Time: 6830 | Angle 60.23° | Setpoint: 90 | Dc= 0.00
18:07:28.568 [CUBESAT]: Time: 6843 | Angle 60.24° | Setpoint: 90 | Dc= 0.00
18:07:28.581 [CUBESAT]: Time: 6859 | Angle 60.25° | Setpoint: 90 | Dc= 0.00
18:07:28.613 [CUBESAT]: Time: 6873 | Angle 60.26° | Setpoint: 90 | Dc= 0.00
18:07:28.614 [CUBESAT]: Time: 6887 | Angle 60.27° | Setpoint: 90 | Dc= 0.00
18:07:28.625 [CUBESAT]: Time: 6901 | Angle 60.28° | Setpoint: 90 | Dc= 0.00
18:07:28.640 [CUBESAT]: Time: 6917 | Angle 60.29° | Setpoint: 90 | Dc= 0.00
18:07:28.656 [CUBESAT]: Time: 6931 | Angle 60.30° | Setpoint: 90 | Dc= 0.00
18:07:28.666 [CUBESAT]: Time: 6945 | Angle 60.31° | Setpoint: 90 | Dc= 0.00
