Time,Angle,Setpoint,Dc
9007,61.52,90,0.00
9021,61.53,90,0.00
9035,61.53,90,0.00
9049,61.54,90,0.00
9062,61.55,90,0.00
9076,61.56,90,0.00
9090,61.57,90,0.00
9104,61.58,90,0.00
9118,61.59,90,0.00
9132,61.60,90,0.00
9147,61.61,90,0.00
9161,61.61,90,0.00
9175,61.62,90,0.00
9188,61.63,90,0.00
9203,61.64,90,0.00
9217,61.65,90,0.00
9231,61.66,90,0.00
9245,61.67,90,0.00
9258,61.67,90,0.00
9274,61.68,90,0.00
9288,61.69,90,0.00
9302,61.70,90,0.00
9320,61.71,90,0.00
9333,61.72,90,0.00
9348,61.73,90,0.00
9363,61.73,90,0.00
9378,61.74,90,0.00
9389,61.75,90,0.00
9407,61.76,90,0.00
9421,61.77,90,0.00
9434,61.77,90,0.00
9447,61.78,90,0.00
9461,61.79,90,0.00
9475,61.80,90,0.00
9488,61.81,90,0.00
9502,61.81,90,0.00
9515,61.82,90,0.00
9530,61.83,90,0.00
9544,61.84,90,0.00
9557,61.85,90,0.00
9571,61.85,90,0.00
9584,61.86,90,0.00
9597,61.87,90,0.00
9611,61.88,90,0.00
9625,61.89,90,0.00
9636,61.89,90,0.00
9650,61.90,90,0.00
9665,61.91,90,0.00
9679,61.92,90,0.00
9692,61.93,90,0.00
9706,61.94,90,0.00
9720,61.95,90,0.00
9734,61.95,90,0.00
9748,61.96,90,0.00
9762,61.97,90,0.00
9776,61.98,90,0.00
9792,61.99,90,0.00
9806,62.00,90,0.00
9820,62.00,90,0.00
9833,62.01,90,0.00
9847,62.02,90,0.00
9860,62.03,90,0.00
9876,62.04,90,0.00
9890,62.04,90,0.00
9903,62.05,90,0.00
9916,62.06,90,0.00
9929,62.07,90,0.00
9942,62.08,90,0.00
9956,62.08,90,0.00
9966,62.09,90,0.00
9981,62.10,90,0.00
9995,62.10,90,0.00
10008,62.11,90,0.00
10022,62.12,90,0.00
10036,62.13,90,0.00
10053,62.14,90,0.00
10067,62.15,90,0.00
10081,62.15,90,0.00
10094,62.16,90,0.00
10107,62.17,90,0.00
10121,62.18,90,0.00
10137,62.19,90,0.00
10151,62.20,90,0.00
10165,62.21,90,0.00
10178,62.21,90,0.00
10192,62.22,90,0.00
10205,62.23,90,0.00
10217,62.24,90,0.00
10231,62.25,90,0.00
10245,62.26,90,0.00
10258,62.26,90,0.00
10271,62.27,90,0.00
10284,62.28,90,0.00
10297,62.29,90,0.00
10311,62.29,90,0.00
10325,62.30,90,0.00
10338,62.31,90,0.00
10352,62.32,90,0.00
10366,62.33,90,0.00
10377,62.33,90,0.00
10387,62.34,90,0.00
10397,62.34,90,0.00
10407,62.35,90,0.00
10417,62.36,90,0.00
10427,62.36,90,0.00
10437,62.37,90,0.00
10447,62.37,90,0.00
10457,62.38,90,0.00
10467,62.38,90,0.00
10483,62.39,90,0.00
10498,62.40,90,0.00
10512,62.41,90,0.00
10526,62.42,90,0.00
10541,62.43,90,0.00
10555,62.44,90,0.00
10569,62.45,90,0.00
10583,62.45,90,0.00
10598,62.46,90,0.00
10612,62.47,90,0.00
10626,62.48,90,0.00
10640,62.49,90,0.00
10654,62.50,90,0.00
10668,62.50,90,0.00
10682,62.51,90,0.00
10696,62.52,90,0.00
10710,62.53,90,0.00
10724,62.53,90,0.00
10738,62.54,90,0.00
10752,62.55,90,0.00
10766,62.56,90,0.00
10781,62.57,90,0.00
10795,62.58,90,0.00
10809,62.59,90,0.00
10823,62.60,90,0.00
10838,62.60,90,0.00
10852,62.61,90,0.00
10866,62.62,90,0.00
10880,62.63,90,0.00
10893,62.64,90,0.00
10907,62.65,90,0.00
10921,62.65,90,0.00
10935,62.66,90,0.00
10949,62.67,90,0.00
10963,62.68,90,0.00
10977,62.69,90,0.00
10991,62.69,90,0.00
11005,62.70,90,0.00
11019,62.71,90,0.00
11033,62.72,90,0.00
11047,62.72,90,0.00
11061,62.73,90,0.00
11075,62.73,90,0.00
11089,62.74,90,0.00
11102,62.75,90,0.00
11116,62.76,90,0.00
11129,62.77,90,0.00
11142,62.78,90,0.00
11155,62.79,90,0.00
11168,62.80,90,0.00
11182,62.81,90,0.00
11200,62.83,90,0.00
11214,62.84,90,0.00
11228,62.85,90,0.00
11241,62.85,90,0.00
11254,62.86,90,0.00
11267,62.87,90,0.00
11280,62.88,90,0.00
11291,62.88,90,0.00
11301,62.89,90,0.00
11311,62.89,90,0.00
11321,62.89,90,0.00
11331,62.90,90,0.00
11341,62.90,90,0.00
11351,62.91,90,0.00
11361,62.92,90,0.00
11371,62.92,90,0.00
11381,62.93,90,0.00
11391,62.93,90,0.00
11401,62.94,90,0.00
11411,62.95,90,0.00
11421,62.95,90,0.00
11436,62.96,90,0.00
11450,62.97,90,0.00
11463,62.98,90,0.00
11474,62.99,90,0.00
11484,62.99,90,0.00
11494,63.00,90,0.00
11504,63.01,90,0.00
11514,63.01,90,0.00
11531,63.02,90,0.00
11546,63.03,90,0.00
11560,63.03,90,0.00
11573,63.04,90,0.00
11587,63.05,90,0.00
11603,63.05,90,0.00
11618,63.06,90,0.00
11632,63.07,90,0.00
11646,63.08,90,0.00
11660,63.09,90,0.00
11673,63.10,90,0.00
11686,63.11,90,0.00
11700,63.12,90,0.00
11714,63.13,90,0.00
11727,63.14,90,0.00
11741,63.15,90,0.00
11755,63.15,90,0.00
11768,63.16,90,0.00
11784,63.17,90,0.00
11798,63.17,90,0.00
11812,63.18,90,0.00
11826,63.19,90,0.00
11839,63.20,90,0.00
11852,63.20,90,0.00
11865,63.21,90,0.00
11879,63.22,90,0.00
11893,63.23,90,0.00
11907,63.24,90,0.00
11921,63.25,90,0.00
11934,63.25,90,0.00
11947,63.26,90,0.00
11964,63.27,90,0.00
11978,63.28,90,0.00
11992,63.29,90,0.00
12005,63.29,0,0.00
13,63.30,0,0.00
26,63.31,0,0.00
41,63.32,0,0.00
55,63.33,0,0.00
68,63.33,0,0.00
81,63.34,0,0.00
94,63.35,0,0.00
107,63.36,0,0.00
124,63.37,0,0.00
138,63.38,0,0.00
152,63.38,0,0.00
165,63.39,0,0.00
178,63.40,0,0.00
191,63.40,0,0.00
204,63.41,0,0.00
218,63.42,0,0.00
232,63.43,0,0.00
245,63.44,0,0.00
258,63.44,0,0.00
271,63.46,0,0.00
284,63.46,0,0.00
300,63.47,0,0.00
314,63.48,0,0.00
327,63.49,0,0.00
340,63.49,0,0.00
353,63.50,0,0.00
366,63.51,0,0.00
379,63.52,0,0.00
392,63.53,0,0.00
405,63.53,0,0.00
415,63.54,0,0.00
425,63.55,0,0.00
435,63.55,0,0.00
445,63.56,0,0.00
456,63.56,0,0.00
465,63.57,0,0.00
477,63.57,0,0.00
492,63.58,0,0.00
505,63.59,0,0.00
518,63.60,0,0.00
528,63.61,0,0.00
546,63.62,0,0.00
560,63.63,0,0.00
574,63.64,0,0.00
587,63.64,0,0.00
599,63.65,0,0.00
612,63.66,0,0.00
625,63.66,0,0.00
638,63.67,0,0.00
654,63.68,0,0.00
667,63.69,0,0.00
680,63.70,0,0.00
690,63.70,0,0.00
700,63.71,0,0.00
714,63.72,0,0.00
727,63.73,0,0.00
740,63.73,0,0.00
754,63.74,0,0.00
767,63.75,0,0.00
780,63.76,0,0.00
793,63.76,0,0.00
809,63.77,0,0.00
823,63.78,0,0.00
837,63.79,0,0.00
850,63.80,0,0.00
863,63.81,0,0.00
876,63.81,0,0.00
889,63.82,0,0.00
903,63.83,0,0.00
917,63.84,0,0.00
930,63.84,0,0.00
943,63.85,0,0.00
956,63.86,0,0.00
969,63.87,0,0.00
985,63.88,0,0.00
999,63.89,0,0.00
1013,63.89,0,0.00
1026,63.90,0,0.00
1039,63.91,0,0.00
1052,63.92,0,0.00
1067,63.93,0,0.00
1081,63.93,0,0.00
1095,63.94,0,0.00
1108,63.95,0,0.00
1121,63.96,0,0.00
1134,63.96,0,0.00
1149,63.97,0,0.00
1163,63.98,0,0.00
1177,63.99,0,0.00
1190,64.00,0,0.00
1203,64.00,0,0.00
1216,64.01,0,0.00
1231,64.02,0,0.00
1245,64.03,0,0.00
1258,64.04,0,0.00
1271,64.05,0,0.00
1284,64.05,0,0.00
1297,64.06,0,0.00
1311,64.07,0,0.00
1327,64.08,0,0.00
1341,64.09,0,0.00
1354,64.09,0,0.00
1367,64.10,0,0.00
1380,64.11,0,0.00
1393,64.12,0,0.00
1410,64.13,0,0.00
1424,64.13,0,0.00
1437,64.14,0,0.00
1450,64.15,0,0.00
1463,64.16,0,0.00
1476,64.16,0,0.00
1492,64.17,0,0.00
1506,64.18,0,0.00
1520,64.19,0,0.00
1533,64.20,0,0.00
1546,64.21,0,0.00
1559,64.21,0,0.00
1572,64.22,0,0.00
1586,64.23,0,0.00
1600,64.24,0,0.00
1614,64.24,0,0.00
1627,64.25,0,0.00
1640,64.26,0,0.00
1653,64.27,0,0.00
1669,64.28,0,0.00
1683,64.29,0,0.00
1697,64.30,0,0.00
1710,64.30,0,0.00
1723,64.31,0,0.00
1736,64.32,0,0.00
1753,64.33,0,0.00
1767,64.34,0,0.00
1781,64.35,0,0.00
1795,64.36,0,0.00
1808,64.36,0,0.00
1821,64.37,0,0.00
1836,64.38,0,0.00
1850,64.39,0,0.00
1864,64.40,0,0.00
1877,64.41,0,0.00
1890,64.41,0,0.00
1903,64.42,0,0.00
1916,64.43,0,0.00
1927,64.44,0,0.00
1938,64.44,0,0.00
1951,64.45,0,0.00
1964,64.46,0,0.00
1977,64.47,0,0.00
1990,64.47,0,0.00
2000,64.48,0,0.00
2017,64.49,0,0.00
2031,64.50,0,0.00
2044,64.51,0,0.00
2057,64.51,0,0.00
2070,64.52,0,0.00
2080,64.53,0,0.00
2090,64.53,0,0.00
2100,64.54,0,0.00
2110,64.55,0,0.00
2120,64.55,0,0.00
2130,64.56,0,0.00
2140,64.56,0,0.00
2150,64.57,0,0.00
2160,64.57,0,0.00
2170,64.58,0,0.00
2184,64.59,0,0.00
2198,64.60,0,0.00
2212,64.61,0,0.00
2225,64.61,0,0.00
2235,64.62,0,0.00
2245,64.63,0,0.00
2255,64.63,0,0.00
2265,64.64,0,0.00
2275,64.65,0,0.00
2285,64.65,0,0.00
2295,64.65,0,0.00
2305,64.66,0,0.00
2315,64.67,0,0.00
2325,64.67,0,0.00
2335,64.68,0,0.00
2351,64.69,0,0.00
2365,64.70,0,0.00
2379,64.70,0,0.00
2392,64.71,0,0.00
2407,64.72,0,0.00
2420,64.73,0,0.00
2433,64.74,0,0.00
2446,64.75,0,0.00
2461,64.75,0,0.00
2471,64.76,0,0.00
2481,64.77,0,0.00
2491,64.77,0,0.00
2501,64.78,0,0.00
2511,64.78,0,0.00
2521,64.79,0,0.00
2531,64.79,0,0.00
2541,64.80,0,0.00
2551,64.81,0,0.00
2561,64.81,0,0.00
2571,64.82,0,0.00
2581,64.83,0,0.00
2591,64.83,0,0.00
2601,64.84,0,0.00
2611,64.84,0,0.00
2621,64.85,0,0.00
2631,64.86,0,0.00
2641,64.86,0,0.00
2651,64.87,0,0.00
2661,64.87,0,0.00
2671,64.88,0,0.00
2681,64.89,0,0.00
2691,64.89,0,0.00
2701,64.90,0,0.00
2711,64.90,0,0.00
2721,64.91,0,0.00
2731,64.92,0,0.00
2741,64.92,0,0.00
2751,64.93,0,0.00
2761,64.93,0,0.00
2771,64.94,0,0.00
2781,64.94,0,0.00
2791,64.95,0,0.00
2898,65.01,0,0.00
2914,65.02,0,0.00
2928,65.03,0,0.00
2942,65.04,0,0.00
2955,65.04,0,0.00
2970,65.05,0,0.00
2984,65.06,0,0.00
2998,65.07,0,0.00
3011,65.08,0,0.00
3024,65.08,0,0.00
3037,65.09,0,0.00
3050,65.10,0,0.00
3064,65.11,0,0.00
3078,65.11,0,0.00
3091,65.12,0,0.00
3104,65.13,0,0.00
3117,65.14,0,0.00
3130,65.15,0,0.00
3143,65.15,0,0.00
3156,65.16,0,0.00
3171,65.17,0,0.00
3185,65.18,0,0.00
3198,65.18,0,0.00
3209,65.19,0,0.00
3219,65.20,0,0.00
3232,65.21,0,0.00
