 [CUBESAT]: Time: 6876 | Angle -54.42° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6886 | Angle -55.48° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6900 | Angle -56.55° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6917 | Angle -58.18° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6931 | Angle -59.55° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6945 | Angle -60.66° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6959 | Angle -62.07° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6973 | Angle -63.49° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6987 | Angle -64.63° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7001 | Angle -66.08° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7015 | Angle -67.54° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7029 | Angle -68.72° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7043 | Angle -70.21° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7056 | Angle -71.42° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7069 | Angle -72.96° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7085 | Angle -74.51° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7099 | Angle -76.08° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7112 | Angle -77.34° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7125 | Angle -78.62° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7139 | Angle -80.24° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7152 | Angle -81.54° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7167 | Angle -83.18° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7181 | Angle -84.85° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7195 | Angle -86.53° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7209 | Angle -87.88° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7222 | Angle -89.59° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7235 | Angle -90.98° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7250 | Angle -92.74° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7264 | Angle -94.51° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7278 | Angle -95.94° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7292 | Angle -97.74° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7305 | Angle -99.20° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7319 | Angle -101.03° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7332 | Angle -102.51° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7347 | Angle -104.37° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7361 | Angle -106.26° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7375 | Angle -108.16° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7389 | Angle -109.69° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7402 | Angle -111.63° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7415 | Angle -113.20° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7432 | Angle -115.57° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 7446 | Angle -117.16° | Setpoint: 90 | Dc= 0.40
