17:13:25.349 Connecting to CUBESAT-ESP32 ...
17:13:31.958 Connection failed: read failed, socket might closed or timeout, read ret: -1
17:13:32.967 Connecting to CUBESAT-ESP32 ...
17:13:34.306 Connected
17:13:36.241 [CUBESAT]: Time: 11585 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.291 [CUBESAT]: Time: 11602 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.292 [CUBESAT]: Time: 11616 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.293 [CUBESAT]: Time: 11630 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.297 [CUBESAT]: Time: 11643 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.311 [CUBESAT]: Time: 11657 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.360 [CUBESAT]: Time: 11671 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.360 [CUBESAT]: Time: 11685 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.361 [CUBESAT]: Time: 11698 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.407 [CUBESAT]: Time: 11711 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.407 [CUBESAT]: Time: 11726 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.408 [CUBESAT]: Time: 11740 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.410 [CUBESAT]: Time: 11753 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:36.424 [CUBESAT]: Time: 11766 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.477 [CUBESAT]: Time: 11780 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.477 [CUBESAT]: Time: 11794 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.479 [CUBESAT]: Time: 11808 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.482 [CUBESAT]: Time: 11821 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.489 [CUBESAT]: Time: 11834 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.528 [CUBESAT]: Time: 11849 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.529 [CUBESAT]: Time: 11863 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.530 [CUBESAT]: Time: 11876 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.590 [CUBESAT]: Time: 11889 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.592 [CUBESAT]: Time: 11903 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
17:13:36.592 [CUBESAT]: Time: 11916 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.592 [CUBESAT]: Time: 11929 | Angle -0.33° | Setpoint: 0 | Dc= 0.00
