Time,Angle
32.875,95.43
32.875,95.69
32.875,95.95
32.875,96.20
32.876,96.46
32.877,96.72
32.878,96.98
32.883,97.24
32.884,97.50
32.884,97.76
32.884,98.02
32.884,98.29
32.887,104.64
32.889,104.91
32.893,105.18
32.894,105.45
32.895,105.72
32.952,105.99
32.954,106.27
32.954,106.54
32.954,106.81
32.955,107.09
32.960,107.36
32.963,107.63
32.963,107.91
32.963,108.18
32.963,108.46
32.965,115.39
32.968,115.67
32.972,115.95
32.972,116.24
32.975,116.52
32.979,116.81
32.980,117.09
33.039,117.38
33.040,117.66
33.040,118.09
33.041,118.38
33.042,118.67
33.042,118.96
33.042,119.25
33.042,119.39
33.042,119.68
33.044,127.12
33.046,127.42
33.050,127.71
33.051,128.01
33.051,128.31
33.056,128.61
33.058,128.91
33.058,129.21
33.062,129.50
33.064,129.80
33.066,130.10
33.068,130.41
33.070,130.71
33.072,131.01
33.073,131.31
33.076,131.61
33.078,131.92
33.078,132.22
33.082,132.52
33.083,132.83
33.085,133.28
33.088,133.59
33.092,133.89
33.093,134.20
33.093,134.50
33.096,134.81
33.096,135.12
33.099,135.42
33.100,135.73
33.104,136.04
33.105,136.34
33.108,136.65
33.110,136.96
33.111,137.27
33.114,137.58
33.118,137.88
33.120,138.19
33.120,138.51
33.122,138.82
33.124,139.13
33.125,139.44
33.128,139.75
33.131,140.06
33.133,140.37
33.133,140.69
33.135,141.00
33.138,141.31
33.139,141.63
33.142,141.94
33.144,142.25
33.146,142.57
33.154,143.04
33.155,143.35
33.157,143.67
33.157,143.98
33.157,144.30
33.157,144.62
33.187,144.93
33.187,145.25
33.189,145.57
33.189,145.89
33.191,146.20
33.192,146.52
33.194,146.84
33.198,147.16
33.250,147.48
33.250,147.80
33.250,148.12
33.250,148.44
33.250,148.76
33.252,151.67
33.252,152.00
33.253,152.32
33.258,152.64
33.259,152.97
33.259,153.29
33.259,153.62
33.259,153.95
33.261,161.58
33.268,161.91
33.270,162.25
33.270,162.58
33.271,162.91
33.364,163.24
33.364,163.58
33.514,163.91
33.514,164.25
33.514,164.58
33.516,164.91
33.516,165.25
33.516,165.59
33.516,165.92
33.516,166.26
33.516,206.82
33.519,207.18
33.520,207.54
33.523,207.90
33.526,208.26
33.526,208.62
33.530,208.98
33.532,209.34
33.532,209.70
33.534,210.06
33.596,210.43
33.596,210.79
33.596,211.15
33.597,211.51
33.598,211.88
33.598,212.42
33.604,212.78
33.614,213.14
33.614,213.51
33.614,213.87
33.614,214.23
33.614,214.59
33.615,223.75
33.618,224.11
33.619,224.48
33.625,224.85
33.625,225.21
33.625,225.58
33.625,225.95
33.625,226.31
33.631,227.23
33.647,227.60
33.648,227.96
33.649,228.33
33.663,228.70
33.665,229.07
33.666,229.43
33.679,229.80
33.682,230.17
33.691,230.54
33.691,230.91
33.691,231.27
33.691,231.64
33.691,232.01
33.691,238.10
33.693,238.46
33.694,238.83
33.699,239.20
33.702,239.57
33.702,239.94
33.702,240.31
33.702,240.68
33.706,241.05
33.706,241.42
33.709,241.97
33.710,242.34
33.710,242.71
33.713,243.08
33.714,243.45
33.718,243.82
33.720,244.19
33.723,244.56
33.724,244.93
33.724,245.29
33.728,245.66
33.728,246.03
33.733,246.40
33.733,246.77
33.736,247.14
33.738,247.51
33.739,247.89
33.743,248.26
33.746,248.63
33.747,249.00
33.748,249.37
33.752,249.73
33.752,250.10
33.753,250.47
33.756,250.84
33.758,251.21
33.759,251.58
33.763,251.95
33.764,252.32
33.768,252.69
33.769,253.06
33.769,253.43
33.773,253.99
33.777,254.36
33.777,254.73
33.778,255.10
33.782,255.48
33.783,255.85
33.784,256.22
33.788,256.59
33.790,256.96
33.791,257.33
33.791,257.70
33.795,258.07
33.797,258.44
33.813,258.81
33.813,259.18
33.814,259.55
33.828,259.92
33.830,260.29
33.830,260.67
33.830,261.04
33.830,261.41
33.830,261.78
33.837,262.53
33.852,262.90
33.853,263.27
33.870,263.64
33.870,264.01
33.870,264.38
33.870,264.75
33.870,265.12
33.873,267.35
33.877,267.72
33.878,268.09
33.883,268.47
33.883,268.84
33.883,269.21
33.883,269.58
33.883,269.95
33.885,274.96
33.887,275.34
33.893,275.71
33.893,276.08
33.894,276.45
33.896,276.82
33.898,277.19
33.900,277.56
33.904,277.93
33.906,278.30
33.906,278.67
33.908,279.04
33.910,279.60
33.911,279.97
33.915,280.34
33.918,280.71
33.919,281.08
33.919,281.45
33.922,281.83
33.924,282.20
33.925,282.57
33.929,282.94
33.932,283.31
33.933,283.68
33.935,284.05
33.943,284.42
33.943,284.80
33.943,285.17
33.946,285.54
33.946,285.91
33.947,286.27
33.954,286.64
33.955,287.01
33.955,287.38
33.956,287.76
33.958,288.13
33.959,288.50
