Time,Angle,Setpoint,Dc
7519,-49.36,-90,0.20
7529,-49.74,-90,0.20
7539,-50.25,-90,0.20
7549,-50.63,-90,0.20
7559,-51.01,-90,0.20
7584,-52.18,-90,0.20
7595,-52.57,-90,0.20
7605,-53.10,-90,0.20
7619,-53.64,-90,0.20
7636,-54.46,-90,0.20
7650,-55.15,-90,0.20
7664,-55.70,-90,0.20
7678,-56.40,-90,0.20
7692,-57.11,-90,0.20
7706,-57.69,-90,0.20
7721,-58.41,-90,0.20
7735,-59.15,-90,0.20
7749,-59.89,-90,0.20
7763,-60.49,-90,0.20
7778,-61.24,-90,0.20
7792,-62.00,-90,0.20
7806,-62.77,-90,0.20
7820,-63.39,-90,0.20
7834,-64.18,-90,0.20
7848,-64.98,-90,0.20
7862,-65.63,-90,0.20
7876,-66.45,-90,0.20
7890,-67.27,-90,0.20
7904,-67.94,-90,0.20
7918,-68.77,-90,0.20
7932,-69.62,-90,0.20
7946,-70.30,-90,0.20
7960,-71.17,-90,0.20
7974,-72.04,-90,0.20
7988,-72.74,-90,0.20
8002,-73.63,-90,0.20
8018,-74.53,-90,0.20
8032,-75.44,-90,0.20
8046,-76.37,-90,0.20
8060,-77.11,-90,0.20
8075,-78.05,-90,0.20
8089,-78.99,-90,0.20
8103,-79.95,-90,0.20
8117,-80.72,-90,0.20
8130,-81.69,-90,0.20
8145,-82.67,-90,0.20
8159,-83.47,-90,0.20
8173,-84.47,-90,0.20
8187,-85.49,-90,0.20
8201,-86.31,-90,0.20
8215,-87.34,-90,0.20
8229,-88.38,-90,0.20
8243,-89.22,-90,0.20
8258,-90.28,-90,0.20
8272,-91.35,-90,0.20
8286,-92.43,-90,0.20
8300,-93.30,-90,0.20
8314,-94.40,-90,0.20
8327,-95.29,-90,0.20
8343,-96.64,-90,0.20
8357,-97.55,-90,0.20
8371,-98.69,-90,0.20
8385,-99.84,-90,0.20
8400,-101.00,-90,0.20
8414,-101.93,-90,0.20
8428,-103.11,-90,0.20
8445,-104.54,-90,0.20
8459,-105.51,-90,0.20
8473,-106.72,-90,0.20
8487,-107.95,-90,0.20
8500,-108.93,-90,0.20
8515,-110.17,-90,0.20
8529,-111.42,-90,0.20
8540,-112.18,-90,0.20
8551,-113.19,-90,0.20
8568,-114.73,-90,0.20
8582,-115.76,-90,0.20
8595,-117.06,-90,0.20
8608,-118.10,-90,0.20
8621,-119.15,-90,0.20
8634,-120.48,-90,0.20
8648,-121.55,-90,0.20
8661,-122.90,-90,0.20
8677,-124.25,-90,0.20
8691,-125.61,-90,0.20
8705,-126.71,-90,0.20
8719,-128.10,-90,0.20
8733,-129.50,-90,0.20
8747,-130.63,-90,0.20
8761,-132.04,-90,0.20
8775,-133.46,-90,0.20
8789,-134.60,-90,0.20
8803,-136.03,-90,0.20
8816,-137.19,-90,0.20
8829,-138.65,-90,0.20
8843,-139.82,-90,0.20
8857,-141.30,-90,0.20
8870,-142.49,-90,0.20
8883,-143.99,-90,0.20
8897,-145.19,-90,0.20
8910,-146.70,-90,0.20
8926,-148.22,-90,0.20
8940,-149.74,-90,0.20
8954,-150.97,-90,0.20
8968,-152.51,-90,0.20
8983,-154.06,-90,0.20
8997,-155.62,-90,0.20
9011,-156.87,-90,0.20
9025,-158.45,-90,0.20
9040,-160.03,-90,0.20
9054,-161.62,-90,0.20
9068,-162.89,-90,0.20
9082,-164.49,-90,0.20
9096,-166.11,-90,0.20
9110,-167.40,-90,0.20
9124,-169.02,-90,0.20
9138,-170.65,-90,0.20
9152,-171.96,-90,0.20
9166,-173.61,-90,0.20
9180,-175.25,-90,0.20
9194,-176.58,-90,0.20
9208,-178.23,-90,0.20
9222,-179.90,-90,0.20
9235,-181.23,-90,0.20
9249,-182.91,-90,0.20
9266,-184.59,-90,0.20
9280,-186.28,-90,0.20
9294,-187.97,-90,0.20
9308,-189.32,-90,0.20
9322,-191.03,-90,0.20
9335,-192.39,-90,0.20
9349,-194.10,-90,0.20
9363,-195.81,-90,0.20
9380,-197.53,-90,0.20
9394,-199.24,-90,0.20
9408,-200.96,-90,0.20
